Event,Station_sizes,Altitude [m],Start Date/Time,End Date/Time,Start Latitude,Start Longitude,End Latitude,End Longitude,OMF_pol,OMF_tot,CCHO_µg_per_m3,SS_µg_per_m3,OC_µg_per_m3,OM_µg_per_m3,OMF_FAA,OMF_WSOC,OMF_FFA,FAA_µg_per_m3,FFA_µg_per_m3,PG_µg_per_m3,OMF_PG,FFA_PG_µg_per_m3,OMF_FFA_PG,OMF_CAA,CAA_µg_per_m3
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,18,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00856353,0.22371132,0.00346267,0.40088842,0.05776413,0.115528261,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,18,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.00497985,0.14308625,0.00303268,0.60595729,0.05059095,0.101181894,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,18,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00316816,0.09587208,0.00765825,2.40959389,0.12775448,0.255508965,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,4,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.00152334,0.04843657,0.00045911,0.30092525,0.00765886,0.015317724,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,4,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.00249561,0.07704075,0.00236851,0.94670303,0.03951134,0.079022674,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,4,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.17460107,,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,4,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.00461408,0.13394205,0.00231604,0.49963404,0.03863599,0.077271976,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,4,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.00028669,0.00947721,0.00012837,0.44763855,0.00214148,0.004282956,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,18,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.002862832,0.08741592,0.001150971,0.400888419,0.019200439,0.038400878,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,18,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.004305005,0.488349276,0.002602604,0.601950464,0.043416498,0.086832996,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,18,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.003017083,0.091706944,0.007129641,2.355960944,0.118936271,0.237872542,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,4,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.000962469,0.031141656,0.000261936,0.271888321,0.004369603,0.008739206,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,4,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.002973659,0.090502912,0.00228167,0.765011963,0.038062689,0.076125379,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,4,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.15074442,,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,4,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.002601736,0.080062577,0.001159718,0.444587991,0.019346349,0.038692698,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,4,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.00010979,0.003650046,0.0000435722,0.3968259,0.00072687,0.001453739,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,18,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00129553,0.02882233,0.0035089,2.70495667,0.04013846,0.080276912,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,18,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.00065939,0.0148711,0.00112164,1.69989263,0.01283044,0.025660884,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,18,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00061925,0.01397783,0.00365948,5.90590027,0.04186097,0.083721943,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,4,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.00138399,0.03073257,0.00044103,0.31822199,0.00504493,0.010089869,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,4,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.000040711,0.00093056,0.000032687,0.80286967,0.00037391,0.000747812,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,4,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.25030699,,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,4,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.00047536,0.01076338,0.00033192,0.69791778,0.00379684,0.007593689,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,4,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.00018678,0.00425586,0.0001075,0.57542336,0.00122969,0.002459386,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,18,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00223963,0.05930524,0.00697157,3.10584509,0.09790259,0.195805173,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,18,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.0017984,0.0521409,0.00415431,2.30584992,0.06342139,0.126842779,,,,,,,,,,,
