Event,Depth(m),Date/Time,Latitude,Longitude,DCCHO [µMC],DCAA [µMC],PG
WAP,0.25,2019-01-25T00:00,-66.660667,-68.55,1.12,,
WAP,0.25,2019-01-26T00:00,-67.7946,-67.33,3.36,,
WAP,0.25,2019-01-27T00:00,-67.781833,-68.8,0.62,,
WAP,0.25,2019-01-27T00:00,-67.770139,-68.87,0.67,,
WAP,0.25,2019-01-27T00:00,-67.775833,-68.88,0.67,,
WAP,0.25,2019-01-29T00:00,-64.814639,-63.77,0.58,,
WAP,0.25,2019-01-30T00:00,-64.01525,-60.99,0.63,,
WAP,0.25,2019-01-30T00:00,-64.153833,-60.97,0.76,,
WAP,0.25,2019-02-22T00:00,-62.6515,-60.64,1.04,,
WAP,0.25,2019-02-22T00:00,-60.384367,-60.38,2.17,,
WAP,0.25,2019-02-25T00:00,-62.662833,-60.44,1.78,,
WAP,0.25,2019-02-25T00:00,-62.662833,-60.442,2.51,,
WAP,0.25,2019-03-02T00:00,-63.033639,-60.6,0.48,,
WAP,0.25,2019-03-03T00:00,-63.150944,-60.52,1.49,,
WAP,0.25,2019-03-05T00:00,-62.642694,-60.43,0.69,,
WAP,0.25,2019-03-09T00:00,-62.687861,-60.3,0.74,,
WAP,0.25,2019-03-09T00:00,-62.763944,-60.42,0.52,,
WAP,0.25,2019-03-11T00:00,-62.650167,-60.42,0.63,,
PASCAL,0.1,2017-05-27T00:00,64.6865,2.7425,2,,
PASCAL,0.1,2017-05-29T00:00,72.412,5.59483,1.3,,
PASCAL,0.1,2017-05-31T00:00,79.3193,8.41,1,,
CVAO,1,2017-09-20T00:00,16.888056,-24.956932,,,0.110000068
CVAO,1,2017-09-22T00:00,16.888056,-24.956932,,,
CVAO,1,2017-09-25T00:00,16.888056,-24.956932,,,0.10476269
CVAO,1,2017-09-26T00:00,16.888056,-24.956932,,,0.145127973
CVAO,1,2017-09-27T00:00,16.888056,-24.956932,2.267524602,,0.082014242
CVAO,1,2017-09-27T00:00,16.888056,-24.956932,,,0.082014242
CVAO,1,2017-09-28T00:00,16.888056,-24.956932,,,0.130339128
CVAO,1,2017-10-02T00:00,16.888056,-24.956932,,,0.118863465
CVAO,1,2017-10-03T00:00,16.888056,-24.956932,2.373735603,,0.134656033
CVAO,1,2017-10-03T00:00,16.888056,-24.956932,,,0.134656033
CVAO,1,2017-10-04T00:00,16.888056,-24.956932,,4.280704354,0.178464655
CVAO,1,2017-10-05T00:00,16.888056,-24.956932,,4.072903172,0.285451558
CVAO,1,2017-10-06T00:00,16.888056,-24.956932,,,0.289882687
CVAO,1,2017-10-07T00:00,16.888056,-24.956932,3.074197609,,0.054143693
CVAO,1,2017-10-07T00:00,16.888056,-24.956932,,,0.054143693
CVAO,1,2017-10-09T00:00,16.888056,-24.956932,,,0.306387875
CVAO,1,2017-10-10T00:00,16.888056,-24.956932,,0.736749646,0.218237751
PUR12,0.02,2012-12-03T16:30,-5,-82.0002,3.045918061,1.23007160525973,
PUR12,0.02,2012-12-04T21:55,-6.2799,-81.2902,4.070714701,1.47604184429724,
PUR12,0.02,2012-12-04T18:31,-6.3803,-81.3825,4.174762947,1.51377897539121,
PUR12,0.02,2012-12-05T15:21,-6.6199,-81.8299,4.572178541,1.62650403080255,
PUR12,0.02,2012-12-06T22:02,-8.1444,-81.8299,4.773705981,,
PUR12,0.02,2012-12-07T20:05,-9.3299,-78.9699,5.057316961,1.73291516894321,
PUR12,0.02,2012-12-08T11:26,-9.521,-79.2981,4.415194734,,
PUR12,0.02,2012-12-08T19:44,-9.521,-79.2981,3.879377982,1.33945670353385,
PUR12,0.02,2012-12-09T15:38,-9.9302,-80.2302,8.882858038,,
PUR12,0.02,2012-12-10T16:18,-11.1204,-78.8498,3.357096489,1.33086936705976,
PUR12,0.02,2012-12-10T21:08,-11.2089,-78.7156,4.621949176,1.86433687594892,
PUR12,0.02,2012-12-11T16:28,-12.0082,-77.2306,7.029680578,2.34666841803592,
